Question_text	Question_name
Timestamp	Qtime
¿En qué industria trabajas o participas?	Qindustry
¿Cuál es el nombre de tu cargo laboral (si tienes alguno)?	Qtitle
¿Qué categoría describe mejor el trabajo que haces?	Qwork_title
¿Qué herramientas informáticas y/o lenguajes de programación has usado además de R?	Qlanguages
¿Cuál fue el PRIMER lenguaje de programación o herramienta informática que aprendiste?	Qfirst_language
¿Cómo calificarías tu nivel de experiencia usando R?	Qr_experience
¿En qué año comenzaste a aprender R?	Qr_year
¿Aproximadamente cuánto te tomó conseguir tu nivel de competencia con R?	Qtime_to_proficiency
¿Cómo aprendiste R? Si usaste varios métodos, por favor, selecciona el que hayas usado más.	Qr_learning_path
¿Qué opción refleja mejor la razón principal por la que aprendiste R?	Qreason_to_learn
Si aprendieras R, ¿para qué consideras que lo usarías? (marca todas las opciones que apliquen)	Qr_use
De lo que sabes sobre R, ¿cuánto esperas que te llevará aprender lo suficiente para hacer un uso productivo de R?	Qr_length_to_success
Comparado con otros temas técnicos que aprendiste en clase o en el trabajo, en una escala del 1 al 5, ¿cuán difícil esperas que sea aprender R?	Qr_difficulty
¿Qué opción refleja mejor la razón principal por la que aprendiste R?	Qr_reason_experienced
Piensa en el mes pasado: ¿con qué frecuencia usaste R, ya sea para proyectos profesionales o personales?	Qr_how_often_used
Por favor calificá cuánto disfrutas usando R en una escala del 1 al 5, donde 1 es que no lo disfrutas para nada y 5 es que lo disfrutas mucho.	Qr_enjoyment
Comparado con otros temas técnicos que aprendiste en clase o en el trabajo, en una escala del 1 al 5, ¿cuán difícil fue aprender R?	Qr_difficulty_experienced
¿Usaste el paquete tidyverse para aprender R?	Qtidyverse_learning
¿Usas el paquete tidyverse en tu uso cotidiano de R?	Qtidyverse_today
¿Con qué frecuencia usas Shiny? Elige la opción que más se acerque a tu uso.	Qshiny
¿Con qué frecuencia escribes pruebas unitarias para tu código R? Estas pruebas pueden ser pruebas independientes o pueden ser parte de un marco de pruebas como las que se encuentran en los paquetes de R testthat y RUnit.	Qunit_tests
¿Qué es lo que más te gusta de usar R?	Qlike_best
¿Qué es lo que menos te gusta de usar R?	Qlike_least
¿Qué tan probable es que recomiendes R a un colega, amiga/o o un familiar?	Qrecommend
¿Para qué aplicaciones usas R más frecuentemente? (marca todas las que correspondan)	Qused_for
¿Cuál crees que es el mayor obstáculo que debes superar para tratar de aprender R? Las siguientes opciones son solo sugerencias. Si no enumeramos tu obstáculo, elige "Other" y agrega tu obstáculo como texto libre.	Qmost_difficult_aspect
blank	blank_question
¿Con qué capacidad de R o paquete no podrías vivir?	Qnot_live_without
¿Qué capacidad o paquete sientes que hace más falta en R?	Qcapability_missing
¿Qué herramientas analíticas usas hoy para las funciones para las que podrías aprender R? (por favor, marca todas las opciones que apliquen)	Qtools
Si pudieras cambiar una cosa sobre R y su cadena de herramientas que te hubiera facilitado aprenderlo y usarlo, ¿cuál sería?	Qchange_one_thing
¿En qué año naciste?	Qyear_born
¿Con qué género te identificas?	Qgender
¿En qué país resides actualmente?	Qcountry
Identifico mi origen étnico como (selecciona todas las opciones que correspondan):	Qethnicity
¿Cuál es el nivel educativo más alto que has completado? Si eres estudiante, utiliza el nivel más alto que ya hayas completado.	Qdegree
Además de ti, aproximadamente, ¿cuántas personas con las que te comunicas al menos una vez a la semana usan o conocen R?	Qteam_r_users
¿Con qué frecuencia usas algún tipo de control de versiones en tu código R? Elige la opción que más se acerque a tu uso.	Qversion_control
¿Qué herramientas utilizas con tus aplicaciones R? (por favor marca todas las que correspondan)	Qtools_with_r
What do you think is the biggest obstacle you must overcome in trying to learn R? If we haven't listed your obstacle, please choose "Other" and add your obstacle in the text. 	Qobstacles_to_starting
¿Qué fue lo más difícil al aprender R?	Qbiggest_difficulty
¿Cómo crees que harías el proceso de aprender R?	Qhow_to_learn_r
blank2	blank2_question
