Input	Output
Frequently -- I use version control on most of the code that I write	Frequently: I use version control on most code
Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow	Rarely: version control is not part of my normal workflow
Never -- I don't use version control for my R code	Never: I don't use version control for my R code
Sometimes -- I use version control on critical parts of my work	Sometimes: I use version control on critical parts of my work
I don't know what version control is.	I don't know what version control is
No sé qué es el control de versiones	I don't know what version control is
Nunca, no uso control de versiones para mi código R	Never: I don't use version control for my R code
Raramente, sé cómo usar control de versiones en proyectos que lo requieren, pero no es parte de mi flujo de trabajo habitual	Rarely: version control is not part of my normal workflow
Con frecuencia, uso el control de versiones en la mayoría de los códigos que escribo	Frequently: I use version control on most code
A veces, uso el control de versiones en partes críticas de mi trabajo	Sometimes: I use version control on critical parts of my work

